intent,response
greeting,"Hi! I'm PyBot 🤖. Ask me about your courses, exams, deadlines, or any Python/AI topic!"
goodbye,Goodbye! Good luck with your studies 👋
thanks,You're very welcome! Happy to help anytime 😊
exam_schedule,"Exam schedules are published on the college portal under 'Exams > Timetable'. Please check there for the exact date, time, and room for each subject."
assignment_deadline,Assignment deadlines are listed on the course page on the LMS. Late submissions may be penalized unless you have an approved extension — check with your instructor.
office_hours,Office hours are usually held twice a week and can be booked through the instructor's booking link on the LMS. Check your course page for the exact times.
course_registration,You can register for courses through the student portal during the official registration window. Make sure you meet the listed prerequisites before registering.
grading_system,"Final grades are usually a weighted combination of assignments, exams, and participation. The exact breakdown is listed in each course's syllabus."
library_hours,"The library is typically open from 9:00 AM to 8:00 PM on weekdays, with reduced hours on weekends. Check the library page for holiday schedules."
technical_support,"Sorry you're having trouble! Please try clearing your browser cache or resetting your password from the login page. If the issue continues, open a support ticket with IT."
